,meta.page.currentPage,meta.page.from,meta.page.lastPage,meta.page.perPage,meta.page.to,meta.page.total,data.type,data.id,data.attributes.nomor_pb_umku,data.attributes.nama,data.attributes.website,data.attributes.sektor,data.attributes.nama_perusahaan,data.attributes.tanggal_daftar,data.attributes.nomor_tanda_daftar,data.attributes.qr_code,data.attributes.status_id,data.attributes.sistem_elektronik_id
0,1,1,41,10,10,404,tdpseTerbit,11147,,MPY GLOBAL SDN BHD,-,Sektor Keuangan,MPY GLOBAL SDN BHD,2022-09-12,007720.01/DJAI.PSE/09/2022,https://pse.kominfo.go.id/storage/images/qr_code/fae1255707a1d984d940be75666b4ea4.png,TERDAFTAR,10955
1,1,1,41,10,10,404,tdpseTerbit,11145,,TOKENOMY SPOT,spot.tokenomy.com,Sektor Keuangan,TENNET TECHNOLOGIES INC.,2022-09-12,007718.03/DJAI.PSE/09/2022,https://pse.kominfo.go.id/storage/images/qr_code/6c98764bd914959e6b906a89a11694f6.png,TERDAFTAR,10953
2,1,1,41,10,10,404,tdpseTerbit,11144,,TOKENOMY,tokenomy.com,Sektor Keuangan,TENNET TECHNOLOGIES INC.,2022-09-12,007718.02/DJAI.PSE/09/2022,https://pse.kominfo.go.id/storage/images/qr_code/6b20bacba10864fa3bf97bd9c83c1d25.png,TERDAFTAR,10952
3,1,1,41,10,10,404,tdpseTerbit,11143,,TOKENOMY DASHBOARD,dashboard.tokenomy.com,Sektor Keuangan,TENNET TECHNOLOGIES INC.,2022-09-12,007718.01/DJAI.PSE/09/2022,https://pse.kominfo.go.id/storage/images/qr_code/93e33a08bfea027155d270d64abac9ce.png,TERDAFTAR,10951
4,1,1,41,10,10,404,tdpseTerbit,11053,,LINUXCAT.TECH,linuxcat.tech,Sektor Teknologi Informasi dan Komunikasi,LINUXCAT,2022-09-06,007657.01/DJAI.PSE/09/2022,https://pse.kominfo.go.id/storage/images/qr_code/8beaee5eaa9779ee7c2fdc1ae6711b2c.png,TERDAFTAR,10856
5,1,1,41,10,10,404,tdpseTerbit,11036,,AHA,ahagamecenter.com,Sektor Teknologi Informasi dan Komunikasi,SHANGHAI XIAOCHUAN,2022-09-05,007646.01/DJAI.PSE/09/2022,https://pse.kominfo.go.id/storage/images/qr_code/76ed6ae1f204df50a86a3e6fabb43288.png,TERDAFTAR,10841
6,1,1,41,10,10,404,tdpseTerbit,10998,,FREEPIK,Freepik.com,Sektor Teknologi Informasi dan Komunikasi,"FREEPIK COMPANY, SLU",2022-09-02,007614.03/DJAI.PSE/09/2022,https://pse.kominfo.go.id/storage/images/qr_code/e01c499b7899753ab2835bb5b0351b10.png,TERDAFTAR,10802
7,1,1,41,10,10,404,tdpseTerbit,10997,,FLATICON,flaticon.com,Sektor Teknologi Informasi dan Komunikasi,"FREEPIK COMPANY, SLU",2022-09-02,007614.02/DJAI.PSE/09/2022,https://pse.kominfo.go.id/storage/images/qr_code/30e677d7a438c2ce0521a44f60cc3012.png,TERDAFTAR,10801
8,1,1,41,10,10,404,tdpseTerbit,10996,,SLIDESGO,slidesgo.com,Sektor Teknologi Informasi dan Komunikasi,"FREEPIK COMPANY, SLU",2022-09-02,007614.01/DJAI.PSE/09/2022,https://pse.kominfo.go.id/storage/images/qr_code/920a47fe4e5c105fb3f99946e80358fc.png,TERDAFTAR,10800
9,1,1,41,10,10,404,tdpseTerbit,10941,,4399EN GAMES,4399en.com,Sektor Teknologi Informasi dan Komunikasi,4399 NET LIMITED,2022-08-31,007586.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/3f6874d68c0f3267a60a4ada22dd51eb.png,TERDAFTAR,10749
10,2,11,41,10,20,404,tdpseTerbit,10938,,CARLCARE,carlcare.com,Sektor Teknologi Informasi dan Komunikasi,TECNO MOBILE LIMITED,2022-08-31,007583.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/9308984e46da25e5dd529d02349b8793.png,TERDAFTAR,10746
11,2,11,41,10,20,404,tdpseTerbit,10933,,SHARPNEWS,shalltry.com,Sektor Teknologi Informasi dan Komunikasi,SHANGHAI XIAOCHUAN,2022-08-31,007573.04/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/f93dab7a3d499e713d587d4bfa5ba681.png,TERDAFTAR,10742
12,2,11,41,10,20,404,tdpseTerbit,10932,,QUICK LAUNCHER,shalltry.com,Sektor Teknologi Informasi dan Komunikasi,SHANGHAI XIAOCHUAN,2022-08-31,007573.03/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/17963ac271bd8909b3d0c99a6d5fa946.png,TERDAFTAR,10741
13,2,11,41,10,20,404,tdpseTerbit,10928,,ITEL LAUNCHER,shalltry.com,Sektor Teknologi Informasi dan Komunikasi,SHANGHAI XIAOCHUAN,2022-08-31,007573.02/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/e14e2cbea06fbb80ea2e951755f75320.png,TERDAFTAR,10739
14,2,11,41,10,20,404,tdpseTerbit,10927,,HIOS LAUNCHER,shalltry.com,Sektor Teknologi Informasi dan Komunikasi,SHANGHAI XIAOCHUAN,2022-08-31,007573.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/2ad91162cf992e60995f86de664ec8e5.png,TERDAFTAR,10738
15,2,11,41,10,20,404,tdpseTerbit,10923,,WEBUY,webuyid.com,Sektor Perdagangan,NEW RETAIL INTERNATIONAL PTE. LTD.,2022-08-30,007570.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/fed934e014dc78687e37a33d15377464.png,TERDAFTAR,10733
16,2,11,41,10,20,404,tdpseTerbit,10921,,GOAMA,goama.com,Sektor Teknologi Informasi dan Komunikasi,GOAMA PTE. LTD.,2022-08-30,007567.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/31fac9646a0f385e41c7939b40182396.png,TERDAFTAR,10731
17,2,11,41,10,20,404,tdpseTerbit,10917,,XOS LAUNCHER,toolgroup.shalltry.com,Sektor Teknologi Informasi dan Komunikasi,SHANGHAI XIAOCHUAN,2022-08-30,007566.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/d04f23a2c1f3de79f6b8f46e923dcf24.png,TERDAFTAR,10727
